model_name,variable,channel_name,lead_hours,rmse,mae,bias,skill_vs_persistence
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,24,3.395728402412608,2.313838968141186,-0.6516189929036686,-0.655669547756726
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,24,387.8359736224216,258.96161797848356,1.043207075059218,0.34293933409157473
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,24,247.62551130885538,168.28868644522157,-35.91218442801969,0.5873524911008965
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,24,3.075999891014789,2.2616954674987126,-0.08259115969356219,0.21707642271465188
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,48,5.502283540897062,3.7291571146034332,-1.1204784809563795,-1.06343390078597
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,48,669.0574479322574,446.91343339667264,2.78992268106893,0.14926434828655877
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,48,461.2259057307992,301.244139354827,-32.53091929462888,0.44323041549776954
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,48,4.064993869264812,3.017339624423709,-0.18893255384129892,0.13243591742219796
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,72,7.050471420381819,4.783810597259922,-1.4573256300939788,-1.3991418325404683
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,72,901.8716173362075,594.7519715090832,4.125343430995419,-0.042249008232040586
