model_name,variable,channel_name,lead_hours,rmse,mae,bias,skill_vs_persistence
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,24,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,24,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,24,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,24,nan,nan,nan,nan
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,48,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,48,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,48,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,48,nan,nan,nan,nan
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,72,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,72,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,72,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,72,nan,nan,nan,nan
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,96,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,96,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,96,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,96,nan,nan,nan,nan
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,120,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,120,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,120,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,120,nan,nan,nan,nan
dino_hsl2_theta_cpvert,2 m temperature,2m_temperature,144,nan,nan,nan,nan
dino_hsl2_theta_cpvert,Mean sea level pressure,mean_sea_level_pressure,144,nan,nan,nan,nan
dino_hsl2_theta_cpvert,500 hPa geopotential,geopotential_500,144,nan,nan,nan,nan
dino_hsl2_theta_cpvert,10 m zonal wind,10m_u_component_of_wind,144,nan,nan,nan,nan
